Päev,lävend,count_sademed,count_total,probability
1,0,10,22,0.45454545454545453
1,5,2,22,0.09090909090909091
1,10,1,22,0.045454545454545456
2,0,7,22,0.3181818181818182
2,5,2,22,0.09090909090909091
2,10,1,22,0.045454545454545456
3,0,8,22,0.36363636363636365
3,5,3,22,0.13636363636363635
3,10,1,22,0.045454545454545456
4,0,6,22,0.2727272727272727
4,5,2,22,0.09090909090909091
4,10,1,22,0.045454545454545456
5,0,6,22,0.2727272727272727
5,5,4,22,0.18181818181818182
5,10,1,22,0.045454545454545456
6,0,7,22,0.3181818181818182
6,5,0,22,0.0
6,10,0,22,0.0
7,0,3,22,0.13636363636363635
7,5,1,22,0.045454545454545456
7,10,0,22,0.0
8,0,8,22,0.36363636363636365
8,5,6,22,0.2727272727272727
8,10,2,22,0.09090909090909091
9,0,8,22,0.36363636363636365
9,5,1,22,0.045454545454545456
9,10,1,22,0.045454545454545456
10,0,4,22,0.18181818181818182
10,5,1,22,0.045454545454545456
10,10,1,22,0.045454545454545456
11,0,12,22,0.5454545454545454
11,5,3,22,0.13636363636363635
11,10,3,22,0.13636363636363635
12,0,9,22,0.4090909090909091
12,5,5,22,0.22727272727272727
12,10,2,22,0.09090909090909091
13,0,13,22,0.5909090909090909
13,5,2,22,0.09090909090909091
13,10,2,22,0.09090909090909091
14,0,9,22,0.4090909090909091
14,5,4,22,0.18181818181818182
14,10,1,22,0.045454545454545456
15,0,6,22,0.2727272727272727
15,5,0,22,0.0
15,10,0,22,0.0
16,0,8,22,0.36363636363636365
16,5,2,22,0.09090909090909091
16,10,1,22,0.045454545454545456
17,0,9,22,0.4090909090909091
17,5,6,22,0.2727272727272727
17,10,4,22,0.18181818181818182
18,0,10,22,0.45454545454545453
18,5,4,22,0.18181818181818182
18,10,2,22,0.09090909090909091
19,0,10,22,0.45454545454545453
19,5,3,22,0.13636363636363635
19,10,2,22,0.09090909090909091
20,0,8,22,0.36363636363636365
20,5,2,22,0.09090909090909091
20,10,1,22,0.045454545454545456
21,0,8,22,0.36363636363636365
21,5,1,22,0.045454545454545456
21,10,1,22,0.045454545454545456
22,0,7,22,0.3181818181818182
22,5,2,22,0.09090909090909091
22,10,0,22,0.0
23,0,9,22,0.4090909090909091
23,5,4,22,0.18181818181818182
23,10,3,22,0.13636363636363635
24,0,10,22,0.45454545454545453
24,5,7,22,0.3181818181818182
24,10,2,22,0.09090909090909091
25,0,10,22,0.45454545454545453
25,5,4,22,0.18181818181818182
25,10,2,22,0.09090909090909091
26,0,7,22,0.3181818181818182
26,5,4,22,0.18181818181818182
26,10,2,22,0.09090909090909091
27,0,10,22,0.45454545454545453
27,5,4,22,0.18181818181818182
27,10,1,22,0.045454545454545456
28,0,7,22,0.3181818181818182
28,5,1,22,0.045454545454545456
28,10,0,22,0.0
29,0,8,22,0.36363636363636365
29,5,3,22,0.13636363636363635
29,10,2,22,0.09090909090909091
30,0,7,22,0.3181818181818182
30,5,2,22,0.09090909090909091
30,10,2,22,0.09090909090909091
